N_Illesi,N_Feriti,N_Morti,UnixDate,LAT,LNG
1,0,0,1446587400.0,45.698152,9.666936
1,1,0,1446540300.0,45.703735,9.680935
0,1,0,1446554700.0,45.690728,9.642917
2,1,0,1446469200.0,45.693495,9.692541
2,0,0,1446472200.0,45.687748,9.672181
2,0,0,1446488100.0,45.693107,9.668782
4,0,0,1446453600.0,45.688686,9.689963
1,1,0,1446445260.0,45.703160,9.672555
1,0,0,1446375600.0,45.704055,9.659710
1,1,0,1446391800.0,45.688975,9.645911
1,0,0,1446394200.0,45.715349,9.665013
4,2,0,1446399600.0,45.693789,9.691561
2,0,0,1446283800.0,45.692329,9.691430
1,1,0,1446302700.0,45.698136,9.690517
1,1,0,1446315900.0,45.687984,9.667424
1,1,0,1446270600.0,45.690257,9.657032
0,2,0,1446206700.0,45.701556,9.656071
1,1,0,1446217500.0,45.683914,9.675055
1,1,0,1446221400.0,45.707422,9.690830
4,0,0,1446219300.0,45.704043,9.695101
2,0,0,1446193800.0,45.691240,9.659776
2,0,0,1446202200.0,45.692418,9.664706
0,0,0,1446240600.0,45.694326,9.670094
1,0,0,1446109800.0,45.692416,9.660498
3,0,0,1446110700.0,45.694971,9.687142
2,0,0,1446124800.0,45.682732,9.677289
2,0,0,1446136200.0,45.700126,9.669599
4,0,0,1446109200.0,45.685340,9.673467
1,2,0,1446114600.0,45.689352,9.646766
1,0,0,1446068280.0,45.706047,9.689380
1,1,0,1446018300.0,45.663485,9.658475
1,3,0,1446014100.0,45.676178,9.660851
0,1,0,1446029100.0,45.688844,9.708589
0,1,0,1446016800.0,45.684503,9.641688
1,2,0,1446025800.0,45.690169,9.710479
1,1,0,1446042300.0,45.700310,9.696324
2,0,0,1446044700.0,45.692695,9.688108
2,0,0,1446050400.0,45.692931,9.629531
2,0,0,1446052500.0,45.688655,9.690388
4,0,0,1446062400.0,45.689584,9.706640
0,1,0,1445936400.0,45.715155,9.652304
0,2,0,1445949600.0,45.695436,9.681970
1,1,0,1445931000.0,45.695726,9.659989
1,2,0,1445955300.0,45.690996,9.671073
0,1,0,1445976000.0,45.710695,9.674429
0,2,0,1445846400.0,45.693809,9.688182
0,0,0,1445863200.0,45.697411,9.671776
1,1,0,1445858400.0,45.691960,9.636826
2,0,0,1445875800.0,45.713210,9.676690
1,2,0,1445895600.0,45.702229,9.681441
1,1,0,1445869500.0,45.702229,9.681441
2,0,0,1445840100.0,45.687091,9.656655
1,1,0,1445791500.0,45.691326,9.700209
2,1,0,1445770200.0,45.696583,9.623628
2,0,0,1445688000.0,45.686717,9.671194
0,0,0,1445700600.0,45.695266,9.654792
1,2,0,1445706000.0,45.687673,9.667753
1,0,0,1445685000.0,45.687260,9.662930
3,0,0,1445692500.0,45.690065,9.630380
1,1,0,1445704200.0,45.689518,9.669220
1,1,0,1445605800.0,45.691146,9.674236
1,1,0,1445626200.0,45.674639,9.644760
2,0,0,1445597400.0,45.695777,9.660214
1,0,0,1445595300.0,45.691155,9.666330
2,0,0,1445592600.0,45.699575,9.664730
1,1,0,1445603700.0,45.707600,9.700014
1,1,0,1445608800.0,45.699128,9.667814
1,1,0,1445494200.0,45.709940,9.702814
1,0,0,1445504400.0,45.687536,9.665982
2,0,0,1445514300.0,45.680527,9.639601
2,1,0,1445509800.0,45.709766,9.682548
0,0,0,1445492700.0,45.696258,9.682976
1,1,0,1445494500.0,45.687370,9.670983
1,1,0,1445515500.0,45.692831,9.678830
2,0,0,1445544900.0,45.686684,9.663496
2,0,0,1445526600.0,45.701037,9.682642
2,0,0,1445534400.0,45.713386,9.702329
0,1,0,1445496000.0,45.695810,9.657929
0,2,0,1445511300.0,45.682226,9.678320
2,0,0,1445538600.0,45.688350,9.663108
2,1,0,1445404200.0,45.676001,9.657393
3,1,0,1445410200.0,45.702395,9.671585
2,1,0,1445421600.0,45.677515,9.673796
1,1,0,1445448900.0,45.692987,9.630696
2,0,0,1445435700.0,45.676030,9.668211
0,2,0,1445379600.0,45.687985,9.667424
1,1,0,1445337900.0,45.685269,9.659855
2,1,0,1445343900.0,45.713351,9.666634
1,2,0,1445351700.0,45.687991,9.698678
0,1,0,1445339700.0,45.688532,9.696628
1,0,0,1445373000.0,45.714979,9.681938
0,2,0,1445339100.0,45.686302,9.662767
1,1,0,1445235300.0,45.701576,9.672786
2,1,0,1445236500.0,45.704733,9.684994
2,0,0,1445257800.0,45.681851,9.678385
